team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Switzerland National Team,Switzerland,2026,Switzerland,3,2,1,0,2,2,0,1,0,1,0,0,0,2.33,3,1,1,0,0,11,7,3,4,10,8,2,6,1,2,1,4,0,39,30,90,90,90,90,0,0,0,3,2,1,0,0,0,3,2,1,19,9,10,3,2,1,62,59,68,45,19,26,18,11,7,27,8,19,37,26,11,1,0,1,0,0,0,1,0,1,1,0,1,2,2,0,0,0,0,1.67,1,3,3.33,4,2,2.33,3,1,1,1,1,0.33,0,1,0.33,0,1,0,0,0,3,3,2,1,1,0,2,2,2,1,1,0,1,1,0,0,0,0,0,0,1,2,2,3,0,0,0,1,1,2,0,0,1,1,1,1,100,100,67,33,33,0,100,100,100,50,50,0,100,100,0,0,0,0,0,0,33,67,67,100,0,0,0,50,50,100,0,0,100,100,100,100,1,0,0,0,0,0,1,0,0,33,0,0,0,0,0,100,0,0,67,100,0,0,0,0,0,100,100,100,0,0,0,100,100,100,3,2,1,100,100,100,2,2,0,67,100,0,0,0,0,0,0,0,33,0,100,67,100,0,0,0,0,6.33,4.50,10.00,1,1,1.00,100,100,100,67,33,33,33,0,1.78,1.30,2.76,1.03,1.19,0.71,100,0,1,0,0,1,1,0,1,3,0,0,0,0,0,0,0,1,2,33,0,100,0,0,0,0
Austria National Team,Austria,2026,Austria,3,1,2,0,1,1,0,1,0,1,1,0,1,1.33,3,0.5,2,0,0,30,6,6,0,12,4,8,3,3,1,5,2,-2,45,30,60,45,90,36,0,0,0,2,1,1,1,0,1,2,1,1,10,4,6,4,1,3,48,63,41,27,11,16,8,4,4,19,7,12,32,12,20,2,1,1,2,0,2,0,1,-1,1,1,0,1,0,1,1,0,1,1.33,3,0.5,4,4,4,2,3,1.5,2,1,2.5,1.33,1,1.5,0.67,1,0.5,0.67,0,1,3,3,2,2,1,1,1,1,1,1,0,0,2,2,1,1,1,1,0,0,1,1,2,2,0,0,0,0,1,1,0,0,1,1,1,1,100,100,67,67,33,33,100,100,100,100,0,0,100,100,50,50,50,50,0,0,33,33,67,67,0,0,0,0,100,100,0,0,50,50,50,50,3,1,0,1,0,0,2,1,0,100,33,0,100,0,0,100,50,0,33,100,0,50,0,0,0,67,100,50,33,0,50,67,100,50,1,1,0,33,100,0,1,0,1,33,0,50,1,0,1,33,0,50,33,100,0,33,0,50,33,0,50,3.33,4.00,3.00,1.33,1,1.50,33,0,0,0,0,0,0,0,1.13,1.39,1.01,1.36,1.30,1.40,0,0,0,2,0,0,1,0,1,2,0,0,0,1,2,1,0,0,2,33,0,50,33,0,50,0
Spain National Team,Spain,2026,Spain,3,2,1,0,2,1,1,1,1,0,0,0,0,2.33,2,3,1,0,0,13,5,0,5,5,4,1,4,1,0,0,4,1,54,45,90,0,0,0,3,2,1,0,0,0,1,1,0,2,1,1,23,17,6,2,1,1,69,71,67,55,49,6,16,15,1,39,34,5,34,20,14,4,3,1,0,0,0,4,3,1,2,1,1,1,1,0,0,0,0,2.33,2,3,1.67,2,1,1.67,2,1,0,0,0,1.33,1.5,1,1.33,1.5,1,0,0,0,2,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,2,2,2,3,3,1,1,1,1,2,2,0,1,1,1,1,1,67,33,33,33,0,0,50,50,50,50,0,0,100,0,0,0,0,0,33,67,67,67,100,100,50,50,50,50,100,100,0,100,100,100,100,100,2,1,1,1,1,1,1,0,0,67,33,33,50,50,50,100,0,0,67,50,100,0,100,100,100,0,0,0,33,50,0,67,50,100,3,2,1,100,100,100,1,1,0,33,50,0,0,0,0,0,0,0,67,50,100,33,50,0,0,0,0,7.67,8.50,6.00,0.67,0.5,1.00,100,33,33,33,33,33,0,0,2.16,2.88,0.73,0.55,0.48,0.70,33,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,33,50,0,0,0,0,0
Portugal National Team,Portugal,2026,Portugal,3,2,1,0,1,1,0,2,1,1,0,0,0,1.67,2,1,2,0,0,21,6,1,5,7,7,0,6,0,1,0,5,0,45,30,0,273,180,0,2,1,1,1,1,0,1,0,1,2,2,0,10,8,2,4,4,0,62,71,45,37,24,13,12,10,2,25,14,11,29,23,6,4,4,0,1,1,0,3,3,0,1,1,0,2,1,1,0,0,0,1.67,2,1,2.33,3.5,0,2,3,0,0.33,0.5,0,1.67,2.5,0,1.33,2,0,0.33,0.5,0,2,2,1,1,1,0,2,2,1,1,1,0,0,0,0,0,0,0,1,1,2,2,2,3,0,0,1,1,1,2,1,1,1,1,1,1,67,67,33,33,33,0,100,100,50,50,50,0,0,0,0,0,0,0,33,33,67,67,67,100,0,0,50,50,50,100,100,100,100,100,100,100,2,2,1,2,2,1,0,0,0,67,67,33,100,100,50,0,0,0,33,50,0,-1,67,50,100,33,50,0,33,0,100,67,100,0,2,1,1,67,50,100,1,0,1,33,0,100,1,1,0,33,50,0,33,50,0,67,50,100,0,0,0,3.33,4.00,2.00,1.33,2,0.00,67,33,33,0,0,0,0,0,1.48,1.61,1.24,1.34,0.81,2.40,0,2,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,67,50,100,0,0,0,0
Norway National Team,Norway,2026,Norway,4,2,2,0,3,1,2,0,0,0,1,1,0,2.25,1.5,3,2,0,0,5,10,8,2,18,10,8,4,6,6,2,-2,4,36,45,30,45,30,90,0,0,0,4,2,2,0,0,0,3,1,2,17,9,8,2,1,1,50,43,57,44,23,21,20,11,9,24,12,12,42,22,20,5,2,3,4,3,1,1,-1,2,3,1,2,0,0,0,1,1,0,2.25,1.5,3,4.5,5,4,2.5,2,3,2,3,1,2.25,2.5,2,1.25,1,1.5,1,1.5,0.5,4,4,4,3,3,0,2,2,2,2,2,0,2,2,2,1,1,0,0,0,0,1,1,4,0,0,0,0,0,2,0,0,0,1,1,2,100,100,100,75,75,0,100,100,100,100,100,0,100,100,100,50,50,0,0,0,0,25,25,100,0,0,0,0,0,100,0,0,0,50,50,100,4,2,2,2,1,1,2,1,1,100,50,50,100,50,50,100,50,50,75,50,100,-35,0,0,0,100,100,100,0,0,0,75,50,100,2,1,1,50,50,50,0,0,0,0,0,0,2,1,1,50,50,50,75,50,100,0,0,0,25,50,0,4.25,4.50,4.00,0.5,0.5,0.50,100,75,75,25,25,25,25,25,1.36,1.38,1.34,1.64,1.98,1.31,150,0,0,2,1,3,1,0,1,2,1,1,0,2,0,1,0,1,2,0,0,0,25,50,0,25
Germany National Team,Germany,2026,Germany,4,3,1,0,2,2,0,1,1,0,1,0,1,1.75,2.33,0,1,0,0,12,11,5,6,16,13,3,10,1,3,2,7,-1,33,27,90,72,90,45,0,0,0,4,3,1,0,0,0,2,1,1,34,32,2,3,2,1,66,67,61,74,63,11,28,25,3,46,38,8,51,41,10,4,3,1,4,3,1,0,0,0,1,1,0,1,0,1,2,2,0,1,1,1,4,4.33,3,2.75,3.33,1,1.25,1,2,2,2,2,1,1,1,1,1,1,4,4,3,1,1,1,3,3,2,1,1,1,1,1,1,0,0,0,0,0,1,3,3,3,0,0,1,2,2,2,0,0,0,1,1,1,100,100,75,25,25,25,100,100,67,33,33,33,100,100,100,0,0,0,0,0,25,75,75,75,0,0,33,67,67,67,0,0,0,100,100,100,4,2,1,3,1,1,1,1,0,100,50,25,100,33,33,100,100,0,50,67,0,21,0,0,0,100,100,100,0,0,0,50,33,100,0,0,0,0,0,0,2,2,0,50,67,0,2,1,1,50,33,100,25,33,0,25,0,100,50,67,0,8.50,10.67,2.00,0.75,0.67,1.00,75,75,75,50,50,25,25,25,2.29,2.61,1.32,0.95,0.94,0.95,150,2,0,0,1,2,1,2,1,2,1,0,2,0,1,0,0,1,0,25,33,0,25,0,100,25
England National Team,England,2026,England,3,2,1,0,2,1,1,1,1,0,0,0,0,2.33,2,3,1,0,0,10,6,2,4,8,6,2,4,2,2,0,2,2,45,45,45,134,90,0,2,1,1,1,1,0,1,1,0,2,1,1,24,17,7,2,1,1,66,66,67,58,41,17,20,14,6,38,27,11,37,24,13,2,2,0,2,2,0,0,0,0,0,0,0,3,2,1,0,0,0,1,1,1,2.67,3,2,2,2,2,0.67,1,0,1.33,2,0,0.67,1,0,0.67,1,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,2,2,2,2,1,1,1,1,1,1,0,0,1,1,1,1,67,67,33,33,33,33,50,50,50,50,50,50,100,100,0,0,0,0,33,33,67,67,67,67,50,50,50,50,50,50,0,0,100,100,100,100,1,1,1,1,1,1,0,0,0,33,33,33,50,50,50,0,0,0,67,50,100,-25,67,50,100,33,50,0,33,50,0,67,50,100,2,1,1,67,50,100,2,1,1,67,50,100,1,1,0,33,50,0,0,0,0,100,100,100,0,0,0,8.00,8.50,7.00,0.67,0.5,1.00,100,100,100,100,33,0,0,0,2.12,2.18,1.98,0.88,0.77,1.11,133,0,1,0,0,2,0,2,0,1,0,0,0,1,1,0,0,0,0,33,50,0,0,0,0,0
Belgium National Team,Belgium,2026,Belgium,3,2,1,0,1,0,1,2,2,0,0,0,0,1.67,1,3,1,0,0,19,6,2,4,8,2,6,1,5,1,1,0,4,45,180,18,134,180,90,1,1,0,2,1,1,1,1,0,1,0,1,14,6,8,5,5,0,59,62,54,73,38,35,20,10,10,53,28,25,29,22,7,1,0,1,1,1,0,0,-1,1,1,0,1,1,1,0,1,1,0,1.33,0.5,3,2.67,1,6,2,0.5,5,0.67,0.5,1,0.67,0.5,1,0.33,0,1,0.33,0.5,0,2,2,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,2,2,2,0,0,0,0,0,0,67,67,33,33,33,33,50,50,0,0,0,0,100,100,100,100,100,100,33,33,67,67,67,67,50,50,100,100,100,100,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,67,0,0,50,0,0,100,0,0,33,0,100,-25,33,50,0,67,50,100,33,50,0,33,0,100,2,1,1,67,50,100,2,2,0,67,100,0,0,0,0,0,0,0,33,0,100,33,50,0,33,50,0,4.67,3.00,8.00,1.67,2.5,0.00,67,67,67,33,33,33,33,0,2.55,2.13,3.39,0.98,1.09,0.76,100,0,0,1,0,1,0,2,0,2,0,1,0,0,0,0,0,0,1,67,100,0,0,0,0,0
Netherlands National Team,Netherlands,2026,Netherlands,4,3,1,0,2,1,1,2,2,0,0,0,0,2,1.67,3,1,0,0,6,11,5,6,16,12,4,8,3,4,1,4,2,33,34,30,72,68,90,0,0,0,4,3,1,0,0,0,4,3,1,18,12,6,3,3,0,53,47,71,46,26,20,22,15,7,24,11,13,44,34,10,4,2,2,0,0,0,4,2,2,2,1,1,2,2,0,0,0,0,2,1.67,3,4,4,4,2.75,2.67,3,1.25,1.33,1,1,0.67,2,1,0.67,2,0,0,0,4,4,3,3,1,1,3,3,2,2,1,1,1,1,1,1,0,0,0,0,1,1,3,3,0,0,1,1,2,2,0,0,0,0,1,1,100,100,75,75,25,25,100,100,67,67,33,33,100,100,100,100,0,0,0,0,25,25,75,75,0,0,33,33,67,67,0,0,0,0,100,100,2,2,0,1,1,0,1,1,0,50,50,0,33,33,0,100,100,0,50,33,100,-5,0,0,0,100,100,100,0,0,0,100,100,100,4,3,1,100,100,100,2,2,0,50,67,0,0,0,0,0,0,0,50,33,100,50,67,0,0,0,0,4.50,4.00,6.00,0.75,1,0.00,100,75,75,50,25,25,25,0,1.53,1.26,2.35,1.39,1.49,1.08,125,3,1,0,0,1,2,2,1,1,0,0,0,0,0,3,0,0,2,50,67,0,0,0,0,0
France National Team,France,2026,France,4,3,1,0,4,3,1,0,0,0,0,0,0,3,3,3,1,0,0,1,13,2,11,15,10,5,9,4,1,1,8,3,28,30,23,180,273,90,2,2,0,2,1,1,0,0,0,4,3,1,24,19,5,1,0,1,57,57,57,73,55,18,34,25,9,39,30,9,38,27,11,5,2,3,1,0,1,4,2,2,3,2,1,1,1,0,0,0,0,2.5,2.33,3,3.75,3.33,5,3.25,3,4,0.5,0.33,1,1.5,0.67,4,1.25,0.67,3,0.25,0,1,4,4,4,2,1,0,3,3,3,1,0,0,1,1,1,1,1,0,0,0,0,2,3,4,0,0,0,2,3,3,0,0,0,0,0,1,100,100,100,50,25,0,100,100,100,33,0,0,100,100,100,100,100,0,0,0,0,50,75,100,0,0,0,67,100,100,0,0,0,0,0,100,3,1,1,2,0,0,1,1,1,75,25,25,67,0,0,100,100,100,100,100,100,13,50,67,0,50,33,100,0,0,0,100,100,100,3,3,0,75,100,0,1,1,0,25,33,0,1,0,1,25,0,100,75,67,100,25,33,0,0,0,0,6.00,6.33,5.00,0.25,0,1.00,75,75,75,50,0,0,0,0,2.21,2.21,2.22,0.80,0.66,1.20,75,1,2,0,1,1,2,2,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
